model,comparison,image_key,excluded_stage,reason
surya,run_1_to_run_2,val/4/206/5,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/6,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/7,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/8,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/206/9,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/1,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/10,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/11,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/12,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/13,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/14,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/15,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/16,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/17,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/18,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/19,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/2,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/20,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/21,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/22,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/3,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/4,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/5,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/6,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/7,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/8,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/219/9,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/1,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/10,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/11,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/12,run_1,missing run_1 record
